,feature,label
147,[0.20387445 1.06622234 0.30004065 5.22979869],1
148,[0.3375     0.9876861  0.61912674 2.92647732],1
149,[0.13400169 0.86845439 0.42250556 6.48092109],1
150,[0.23678511 1.09976064 0.47482265 4.64455144],1
151,[0.27735011 1.09669582 0.66515351 3.95419288],1
152,[0.27446309 0.99622086 0.51003968 3.62970793],1
153,[0.31157584 0.96270505 0.54910141 3.08979367],1
154,[0.30558548 1.06697003 0.54477008 3.49155998],1
155,[0.63431063 0.98920151 0.44841011 1.55949067],1
156,[0.20094415 0.98288827 0.39114001 4.89135054],1
157,[ 0.0896377   1.31740457  0.33136213 14.69699209],1
158,[0.25       1.24123052 0.45477403 4.96492207],1
159,[0.43142752 3.63702761 0.88302321 8.43021704],1
160,[0.24725275 1.10168622 0.43745454 4.45570871],1
161,[0.30696821 1.23167851 0.54407491 4.01239758],1
162,[0.23370372 1.12312616 0.54097279 4.80576937],1
163,[0.2        1.01980392 0.46294249 5.09901962],1
164,[0.26411527 1.33156415 0.62377377 5.04160226],1
165,[0.2276502  1.         0.35789815 4.39270422],1
166,[0.23180018 0.90994057 0.62248606 3.92553874],1
167,[ 0.09280686  1.1292956   0.40377574 12.16823447],1
168,[0.25       1.19585887 0.44274435 4.78343547],1
169,[0.19101124 0.90889994 0.46540087 4.7583585 ],1
170,[0.19458138 1.24056037 0.45219787 6.37553472],1
171,[0.29411765 1.1729687  0.5263267  3.98809357],1
172,[0.19682466 0.95757537 0.44124512 4.86511895],1
173,[0.19223151 1.1577237  0.47443505 6.02254911],1
174,[0.41023148 0.65881503 0.84251661 1.60595925],1
175,[0.29726793 1.52023394 0.49675529 5.11401931],1
176,[0.19188184 1.03463937 0.27583561 5.39206519],1
177,[0.14781007 1.0485759  0.55281339 7.094076  ],1
178,[0.2967033  1.06652482 0.53999161 3.59458365],1
179,[0.20253165 1.04718636 0.44833598 5.17048266],1
180,[0.30244894 1.01716098 0.36963733 3.36308323],1
181,[0.33104315 1.1818966  0.79205746 3.57021919],1
182,[0.25598338 1.20861128 0.38940732 4.72144431],1
183,[0.31295848 1.21282907 0.52122796 3.87536732],1
184,[0.24492874 1.00515138 0.54297905 4.10385235],0
185,[0.26303023 1.0028879  0.55899527 3.81282367],0
186,[0.20323744 1.04301324 0.46877372 5.13199368],0
187,[0.22326253 0.98287813 0.47099296 4.40234246],0
188,[0.21786636 0.90831979 0.47582518 4.16916037],0
189,[0.21847492 1.06930524 0.33307353 4.89440734],0
190,[0.20860923 0.95318579 0.4557196  4.56924063],0
191,[0.20323744 0.97812939 0.46877372 4.81274224],0
192,[0.21847492 1.03356635 0.33307353 4.73082384],0
193,[0.25606186 1.12701707 0.56588847 4.40134684],0
194,[0.25740243 1.00814583 0.44912801 3.91661355],0
195,[0.32005267 1.03549558 0.43193427 3.23539121],0
196,[0.28994202 1.02747982 0.62879539 3.54374236],0
197,[0.33872906 1.         0.61264359 2.95221202],0
198,[0.3025657  1.         0.52075065 3.30506733],0
199,[0.28423833 1.         0.49999645 3.51817431],0
200,[0.30045766 1.03984483 0.65363749 3.46086981],0
201,[0.29009705 1.01655387 0.51756341 3.50418551],0
202,[0.34993003 1.03811476 0.62628494 2.96663528],0
203,[0.31624903 0.95524491 0.40963202 3.02054651],0
204,[0.31081826 1.02708742 0.53565336 3.30446288],0
205,[0.26041667 1.         0.43441684 3.84      ],0
206,[0.26054987 0.97284315 0.46457653 3.73380784],0
207,[0.31376162 0.92383216 0.56589066 2.94437594],0
208,[0.24444444 0.97578715 0.44129796 3.99185652],0
209,[0.30434783 0.96708843 0.55808614 3.17757626],0
210,[0.24151546 0.98192449 0.56448909 4.06567968],0
211,[0.20099615 0.98316751 0.48797427 4.89147431],0
212,[0.30536275 0.97612334 0.53831777 3.19660249],0
213,[0.20943175 1.06530584 0.46380036 5.08664909],0
214,[0.24865461 0.97612334 0.43900539 3.92561929],0
215,[0.3207341  0.95405681 0.54542985 2.97460363],0
216,[0.26498731 0.98596831 0.43678329 3.7208133 ],0
217,[0.28712198 0.94630903 0.55794855 3.29584325],0
218,[0.2577088  1.0331234  0.42051393 4.00887908],0
219,[0.20487889 1.06464674 0.4454166  5.19646872],0
220,[0.31258207 0.95348865 0.56087262 3.05036261],0
221,[0.26178022 1.04149209 0.43931893 3.97849805],0
222,[0.2912044  1.04397203 0.59376577 3.58501468],0
223,[0.29065918 0.96168195 0.55425965 3.30862401],0
224,[0.2        0.97073093 0.50373084 4.85365465],0
225,[0.28425694 1.0613874  0.65868429 3.73390149],0
226,[0.24392857 1.09450053 0.40826245 4.48697151],0
227,[0.2487593  1.08068645 0.54819319 4.34430578],0
228,[0.30658477 0.98520971 0.53866803 3.21349855],0
229,[0.20408163 1.         0.2872147  4.9       ],1
230,[0.23928102 0.90884622 0.5448117  3.79823774],0
231,[0.25842351 1.00594319 0.41744447 3.89261492],0
232,[0.20408163 1.08068645 0.44386284 5.29536362],0
233,[0.16564729 1.         0.54030028 6.03692322],1
234,[0.29271428 1.0786774  0.40092628 3.68508635],0
235,[0.26843775 1.3706249  0.29683221 5.10593195],1
236,[0.39223227 1.35906547 0.51669845 3.46495068],1
237,[0.39223227 1.28045552 0.51669845 3.26453386],0
238,[0.33218192 1.36068316 0.43548974 4.09619872],0
239,[0.40741087 1.3504992  0.36614866 3.31483348],1
240,[0.43533206 1.53405097 0.41109374 3.523864  ],1
241,[0.24054026 1.32550475 0.44969033 5.51053189],1
242,[0.2195122  1.17767089 0.36069956 5.36494515],1
243,[0.2704918  1.06674797 0.46477276 3.94373491],1
244,[0.19321999 1.06751791 0.49629296 5.52488328],1
245,[0.23432452 1.03502149 0.46577507 4.41704309],1
246,[0.20779221 1.14111613 0.44638912 5.49162137],1
247,[0.24098439 0.95636908 0.43294698 3.96859346],1
248,[0.25455336 0.92852426 0.41927538 3.6476606 ],1
249,[0.31707317 1.26734391 0.43511672 3.99700771],1
250,[0.21715719 1.00967886 0.37067806 4.64952997],1
251,[0.24328333 1.88818132 0.53607251 7.76124404],1
252,[0.07373606 0.71502587 0.03582762 9.69709921],1
253,[0.22230152 0.94751137 0.54925654 4.26228021],1
254,[ 0.07692308  1.27454452  0.33940678 16.56907875],1
255,[0.22172593 1.         0.52957779 4.51007235],1
256,[5.63596308 0.79123927 1.53341095 0.14039114],1
257,[0.26363636 0.97020194 0.42758185 3.68007632],1
258,[0.2173913  0.93577541 0.38731143 4.30456689],1
259,[0.30630051 1.03274149 0.43887954 3.37166101],1
260,[0.20279048 1.04752935 0.4669459  5.16557449],1
261,[0.10289915 0.90170506 0.50261012 8.76299831],1
262,[0.28828829 1.22993495 0.4418607  4.26633685],1
263,[0.20947576 1.01048453 0.29615317 4.82387341],1
264,[0.23041785 1.95323092 0.53537102 8.47690806],1
265,[0.20990834 1.15328135 0.53571727 5.49421402],1
266,[0.23635158 0.96935206 0.30028202 4.10131403],1
267,[0.23078737 2.16873585 0.45142171 9.39711686],1
268,[0.27510972 0.85538097 0.30725614 3.10923579],1
269,[0.25471698 1.08620911 0.38831734 4.2643765 ],1
270,[0.21693046 1.         0.44932353 4.60977221],1
